ID,State,Institution,Series,first_enrollment,degree_enrollment,number_recipients,RAW_avg_aid,avg_aid,aid_concentration,RAW_total_aid,total_aid,RAW_total_cost,total_cost,private,public,urban,rural,carnegie,udgr_enrollment,acceptance_rate,udgr_recipients,RAW_udgr_avg,udgr_avg,RAW_udgr_aid,udgr_aid,doctoral,masters,bachelor,city,suburban,town_rural
169716,MI,University of Detroit Mercy,2017-2018,44,217,124,20330,21901,0.57,2520942,2715749,57378,61812,1,0,1,0,1,2674,0.65,535,29049,31294,15541215,16742170.22,0,1,0,1,0,0
169716,MI,University of Detroit Mercy,2018-2019,36,228,102,16584,17403,0.45,1691526,1775071,41226,43262,1,0,1,0,1,2754,0.83,562,15751,16529,8852062,9289265.895,0,1,0,1,0,0
169716,MI,University of Detroit Mercy,2019-2020,41,181,90,16331,16647,0.50,1469794,1498255,42648,43474,1,0,1,0,1,2559,0.78,NA,NA,NA,NA,NA,0,1,0,1,0,0
145600,IL,"University of Illinois, Chicago",2012-2013,60,250,87,3961,4765,0.35,344663,414607,41017,49341,0,1,1,0,1,16593,0.64,2014,6479,7794,13048706,15696721.03,1,0,0,1,0,0
145600,IL,"University of Illinois, Chicago",2013-2014,66,327,83,4311,5106,0.25,357829,423795,41710,49399,0,1,1,0,1,16601,0.71,1984,5998,7104,11900032,14093825.68,1,0,0,1,0,0
145600,IL,"University of Illinois, Chicago",2014-2015,67,379,37,5333,6133,0.10,197326,226922,41923,48211,0,1,1,0,1,16635,0.75,2022,6191,7120,12518202,14395728.22,1,0,0,1,0,0
145600,IL,"University of Illinois, Chicago",2015-2016,104,427,25,7494,8447,0.06,187351,211182,42430,47827,0,1,1,0,1,17368,0.77,2391,6180,6966,14776380,16655893.98,1,0,0,1,0,0
145600,IL,"University of Illinois, Chicago",2016-2017,91,479,24,5780,6417,0.05,138731,154015,42890,47615,0,1,1,0,1,17804,0.74,2182,5977,6635,13041814,14478589.23,1,0,0,1,0,0
145600,IL,"University of Illinois, Chicago",2017-2018,204,761,14,4227,4554,0.02,59176,63749,43518,46881,0,1,1,0,1,19106,0.77,2462,5490,5914,13516380,14560865.08,1,0,0,1,0,0
145600,IL,"University of Illinois, Chicago",2018-2019,273,1022,19,4311,4524,0.02,81904,85949,44082,46259,0,1,1,0,1,20435,0.76,2547,5449,5718,13878603,14564068.07,1,0,0,1,0,0
145600,IL,"University of Illinois, Chicago",2019-2020,NA,NA,NA,NA,NA,NA,NA,NA,45073,45946,0,1,1,0,1,21311,0.73,NA,NA,NA,NA,NA,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2012-2013,914,4108,19,5914,7114,0.00,112367,135170,42706,51372,0,1,1,0,1,31260,0.63,2909,7866,9462,22882194,27525749.74,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2013-2014,1171,4629,7,10637,12598,0.00,74456,88182,43468,51481,0,1,1,0,1,31663,0.62,3085,8252,9773,25457420,30150544.1,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2014-2015,1065,4919,53,3276,3767,0.01,173628,199669,44194,50822,0,1,1,0,1,31875,0.59,3255,8492,9766,27641460,31787228.37,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2015-2016,1109,5070,33,6555,7389,0.01,216307,243821,44924,50638,0,1,1,0,1,32170,0.66,3473,8410,9480,29207930,32923096.55,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2016-2017,1042,5097,27,5046,5602,0.01,136238,151247,45686,50719,0,1,1,0,1,32752,0.60,3521,8717,9677,30692557,34073858.53,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2017-2018,1127,5121,28,4566,4919,0.01,127860,137740,46202,49772,0,1,1,0,1,32884,0.62,3431,8865,9550,30415815,32766212.43,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2018-2019,936,4854,15,7163,7517,0.00,107451,112758,46672,48977,0,1,1,0,1,32974,0.62,3660,10020,10515,36673200,38484491.64,1,0,0,1,0,0
145637,IL,"University of Illinois, Urbana-Champaign",2019-2020,961,4651,19,7833,7985,0.00,148818,151700,47444,48363,0,1,1,0,1,33080,0.59,NA,NA,NA,NA,NA,1,0,0,1,0,0
171146,MI,"University of Michigan, Flint",2012-2013,68,256,39,2063,2482,0.15,80447,96772,31483,37872,0,1,1,0,1,6677,0.74,234,3664,4408,857376,1031366.014,0,1,0,1,0,0
171146,MI,"University of Michigan, Flint",2013-2014,77,408,38,3090,3660,0.09,117402,139045,31949,37839,0,1,1,0,1,6746,0.78,334,4976,5893,1661984,1968373.931,0,1,0,1,0,0
171146,MI,"University of Michigan, Flint",2014-2015,24,388,31,3871,4452,0.08,119986,137982,32764,37678,0,1,1,0,1,6565,0.79,309,4384,5042,1354656,1557832.316,0,1,0,1,0,0
171146,MI,"University of Michigan, Flint",2015-2016,36,380,33,2656,2994,0.09,87632,98779,33060,37265,0,1,1,0,1,6255,0.74,296,4150,4678,1228400,1384649.025,0,1,0,1,0,0
171146,MI,"University of Michigan, Flint",2016-2017,18,301,42,4953,5499,0.14,208018,230935,33806,37530,0,1,1,0,1,5827,0.65,473,5542,6153,2621366,2910153.567,0,1,0,1,0,0
171146,MI,"University of Michigan, Flint",2017-2018,15,225,33,5713,6154,0.15,188526,203094,34888,37584,0,1,1,0,1,5669,0.65,497,5315,5726,2641555,2845682.494,0,1,0,1,0,0
